DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,CZ,2022-Q2,3063002,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,CZ,2022-Q3,4378504,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,CZ,2022-Q4,2668583,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,CZ,2023-Q1,2282885,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2018-Q1,43345964,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2018-Q2,58454885,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2018-Q3,67253261,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2018-Q4,53368251,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2019-Q1,45335669,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2019-Q2,61039045,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2019-Q3,67772119,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2019-Q4,52617253,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2020-Q1,34233831,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2020-Q2,1987089,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2020-Q3,14475611,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2020-Q4,7099447,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2021-Q1,4636195,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2021-Q2,10263039,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2021-Q3,31212286,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2021-Q4,27485850,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2022-Q1,20600696,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2022-Q2,43813875,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2022-Q3,51304097,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2022-Q4,39583975,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2023-Q1,32544408,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DE,2023-Q2,49652281,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2018-Q1,7093622,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2018-Q2,9385968,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2018-Q3,10297056,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2018-Q4,7924493,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2019-Q1,7145302,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2019-Q2,9361522,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2019-Q3,10330524,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2019-Q4,7942779,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2020-Q1,5499669,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2020-Q2,252303,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2020-Q3,1944990,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2020-Q4,961692,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2021-Q1,475976,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2021-Q2,1083086,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2021-Q3,4575293,
