DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2004-Q2,2163,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2004-Q3,2142,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2004-Q4,2271,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2005-Q1,2193,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2005-Q2,2308,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2005-Q3,2235,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2005-Q4,2381,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2006-Q1,2367,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2006-Q2,2467,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2006-Q3,2309,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2006-Q4,2484,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2007-Q1,2377,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2007-Q2,2543,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2007-Q3,2376,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2007-Q4,2633,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2008-Q1,2542,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2008-Q2,2647,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2008-Q3,2481,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2008-Q4,2731,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2009-Q1,2592,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2009-Q2,2682,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2009-Q3,2452,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2009-Q4,2726,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2010-Q1,2517,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2010-Q2,2767,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2010-Q3,2537,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2010-Q4,2743,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2011-Q1,2486,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2011-Q2,2733,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2011-Q3,2506,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2011-Q4,2710,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2012-Q1,2400,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2012-Q2,2700,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2012-Q3,2500,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2012-Q4,2700,
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2013-Q1,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2013-Q2,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2013-Q3,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2013-Q4,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2014-Q1,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2014-Q2,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2014-Q3,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2014-Q4,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2015-Q1,,c
ESTAT:RAIL_PA_QUARTAL(1.0),27/10/23 13:27:00,Q,MIO_PKM,BE,2015-Q2,,c
